Country/Region,Mes,Año,Confirmed,Deaths,Recovered
Mexico,mayo,2020,1760,143,992
Mexico,mayo,2020,14862,1159,11631
Mexico,mayo,2020,1913,165,1325
Mexico,mayo,2020,1391,265,881
Mexico,mayo,2020,580,53,367
Mexico,mayo,2020,1419,88,1029
Mexico,mayo,2020,1416,152,879
Mexico,mayo,2020,3046,350,1944
Mexico,mayo,2020,917,105,570
Mexico,mayo,2020,1882,352,1241
Mexico,mayo,2020,931,51,582
Mexico,mayo,2020,3421,501,2369
Mexico,mayo,2020,2091,111,1539
Mexico,mayo,2020,4142,520,2820
Mexico,mayo,2020,1557,108,1146
Mexico,mayo,2020,1042,148,661
Mexico,mayo,2020,3716,518,2656
Mexico,mayo,2020,1823,155,1263
Mexico,mayo,2020,292,34,192
Mexico,enero,2020,841,35,596
Mexico,enero,2020,5127,871,3701
Mexico,enero,2020,643,35,515
Mexico,enero,2020,608,91,381
Mexico,enero,2020,1928,136,1128
Mexico,enero,2020,1627,328,1177
Mexico,enero,2020,25787,2713,19099
Mexico,enero,2020,1088,81,834
Mexico,enero,2020,154,21,95
Mexico,enero,2020,400,37,210
Mexico,enero,2020,1680,112,992
Mexico,enero,2020,1951,272,1418
Mexico,enero,2020,1769,318,1026
Mexico,enero,2020,1802,151,1049
Mexico,enero,2020,15210,1168,12121
Mexico,enero,2020,1950,169,1394
Mexico,enero,2020,1397,270,911
Mexico,enero,2020,620,59,380
Mexico,enero,2020,1481,96,1076
Mexico,enero,2020,1512,162,984
Mexico,enero,2020,3117,359,2073
Mexico,enero,2020,933,108,595
Mexico,enero,2020,1926,355,1287
Mexico,enero,2020,957,54,612
Mexico,enero,2020,3580,522,2465
Mexico,enero,2020,2142,116,1640
Mexico,enero,2020,4323,533,2937
Mexico,enero,2020,1646,109,1214
Mexico,enero,2020,1064,150,704
Mexico,enero,2020,4008,537,2837
Mexico,enero,2020,1863,164,1312
Mexico,enero,2020,301,35,202
Mexico,febrero,2020,890,35,616
Mexico,febrero,2020,5231,879,3830
Mexico,febrero,2020,660,35,529
Mexico,febrero,2020,612,92,398
Mexico,febrero,2020,2013,146,1198
Mexico,febrero,2020,1696,340,1239
Mexico,febrero,2020,26509,2850,19750
Mexico,febrero,2020,1169,81,860
Mexico,febrero,2020,158,26,94
Mexico,febrero,2020,410,42,221
Mexico,febrero,2020,1872,116,1052
Mexico,febrero,2020,2052,286,1503
Mexico,febrero,2020,1898,329,1105
Mexico,febrero,2020,2025,167,1116
Mexico,febrero,2020,15720,1205,12585
Mexico,febrero,2020,2022,175,1455
Mexico,febrero,2020,1438,273,943
Mexico,febrero,2020,638,68,392
Mexico,febrero,2020,1523,99,1122
Mexico,febrero,2020,1623,166,1068
Mexico,febrero,2020,3239,392,2144
Mexico,febrero,2020,960,114,625
Mexico,febrero,2020,1956,363,1325
Mexico,febrero,2020,984,57,644
Mexico,febrero,2020,3699,548,2560
Mexico,febrero,2020,2334,132,1741
Mexico,febrero,2020,4609,562,3060
Mexico,febrero,2020,1730,116,1276
Mexico,febrero,2020,1115,151,754
Mexico,febrero,2020,4311,581,3000
Mexico,febrero,2020,1919,173,1335
Mexico,febrero,2020,311,38,209
Mexico,marzo,2020,939,36,650
Mexico,marzo,2020,5460,1013,3905
Mexico,marzo,2020,698,35,547
Mexico,marzo,2020,635,94,422
Mexico,marzo,2020,2039,162,1283
Mexico,marzo,2020,1731,358,1275
Mexico,marzo,2020,27326,3214,20521
Mexico,marzo,2020,1254,88,915
Mexico,marzo,2020,170,27,105
Mexico,marzo,2020,470,44,240
Mexico,marzo,2020,2009,122,1108
Mexico,marzo,2020,2134,305,1594
Mexico,marzo,2020,2011,365,1163
Mexico,marzo,2020,2136,183,1163
Mexico,marzo,2020,16320,1305,13000
Mexico,marzo,2020,2121,194,1534
Mexico,marzo,2020,1464,281,933
Mexico,marzo,2020,654,75,400
Mexico,marzo,2020,1626,103,1147
Mexico,marzo,2020,1771,198,1154
Mexico,marzo,2020,3446,433,2280
Mexico,marzo,2020,1017,124,660
Mexico,marzo,2020,2010,393,1349
Mexico,marzo,2020,1026,57,689
Mexico,marzo,2020,3903,624,2687
Mexico,marzo,2020,2467,142,1875
Mexico,marzo,2020,4807,592,3258
Mexico,marzo,2020,1793,126,1335
Mexico,marzo,2020,1151,155,806
Mexico,marzo,2020,4367,649,3085
Mexico,marzo,2020,1961,193,1381
Mexico,marzo,2020,322,39,216
Mexico,abril,2020,1035,38,683
Mexico,abril,2020,5604,1137,3872
Mexico,abril,2020,714,38,556
Mexico,abril,2020,679,103,437
Mexico,abril,2020,2158,170,1360
Mexico,abril,2020,1771,372,1304
Mexico,abril,2020,28389,3456,20988
Mexico,abril,2020,1307,88,959
Mexico,abril,2020,180,29,108
Mexico,abril,2020,498,47,250
Mexico,abril,2020,2135,125,1134
Mexico,abril,2020,2158,332,1640
Mexico,abril,2020,2077,374,1207
Mexico,abril,2020,2289,192,1230
Mexico,abril,2020,17158,1475,13259
Mexico,abril,2020,2213,206,1596
Mexico,abril,2020,1491,288,958
Mexico,abril,2020,695,78,412
Mexico,abril,2020,1725,105,1180
Mexico,abril,2020,1883,205,1225
Mexico,abril,2020,3611,463,2384
Mexico,abril,2020,1050,127,698
Mexico,abril,2020,2072,401,1370
Mexico,abril,2020,1086,60,720
Mexico,abril,2020,4036,646,2795
Mexico,abril,2020,2676,156,2013
Mexico,abril,2020,4997,610,3384
Mexico,abril,2020,1848,129,1396
Mexico,abril,2020,1206,170,818
Mexico,abril,2020,4586,682,3176
Mexico,abril,2020,2012,202,1427
Mexico,abril,2020,341,41,219
Mexico,mayo,2020,1072,48,703
Mexico,mayo,2020,5784,1200,4006
Mexico,mayo,2020,735,41,569
Mexico,mayo,2020,688,103,464
Mexico,mayo,2020,2283,176,1449
Mexico,mayo,2020,1807,376,1341
Mexico,mayo,2020,29580,3631,21649
Mexico,mayo,2020,1350,91,994
Mexico,mayo,2020,196,29,117
Mexico,mayo,2020,536,49,264
Mexico,mayo,2020,2278,134,1218
Mexico,mayo,2020,2325,347,1740
Mexico,mayo,2020,2131,386,1276
Mexico,mayo,2020,2447,213,1294
Mexico,mayo,2020,17815,1531,13842
Mexico,mayo,2020,2311,220,1669
Mexico,mayo,2020,1540,295,982
Mexico,mayo,2020,722,81,430
Mexico,mayo,2020,1758,109,1221
Mexico,mayo,2020,2000,215,1300
Mexico,mayo,2020,3804,525,2474
Mexico,mayo,2020,1106,139,724
Mexico,mayo,2020,2116,411,1392
Mexico,mayo,2020,1124,62,762
Mexico,mayo,2020,4237,673,2936
Mexico,mayo,2020,2727,165,2120
Mexico,mayo,2020,5068,626,3518
Mexico,mayo,2020,1952,140,1449
Mexico,mayo,2020,1257,183,854
Mexico,mayo,2020,4871,721,3372
Mexico,mayo,2020,2059,207,1479
Mexico,mayo,2020,347,43,233
Mexico,junio,2020,1104,51,723
Mexico,junio,2020,5976,1230,4125
Mexico,junio,2020,754,43,584
Mexico,junio,2020,727,105,494
Mexico,junio,2020,2487,192,1579
Mexico,junio,2020,1829,383,1365
Mexico,junio,2020,30223,3696,22254
Mexico,junio,2020,1420,92,1048
Mexico,junio,2020,205,30,122
Mexico,junio,2020,567,53,283
Mexico,junio,2020,2389,136,1313
Mexico,junio,2020,2415,360,1842
Mexico,junio,2020,2196,394,1344
Mexico,junio,2020,2653,229,1367
Mexico,junio,2020,18175,1548,14260
Mexico,junio,2020,2325,223,1718
Mexico,junio,2020,1574,296,1027
Mexico,junio,2020,752,85,454
Mexico,junio,2020,1798,126,1280
Mexico,junio,2020,2092,224,1371
Mexico,junio,2020,4014,553,2624
Mexico,junio,2020,1159,145,747
Mexico,junio,2020,2161,418,1420
Mexico,junio,2020,1192,65,810
Mexico,junio,2020,4405,684,3079
Mexico,junio,2020,2865,176,2246
Mexico,junio,2020,5293,640,3660
Mexico,junio,2020,2077,148,1526
Mexico,junio,2020,1317,186,888
Mexico,junio,2020,5007,748,3515
Mexico,junio,2020,2100,208,1524
Mexico,junio,2020,368,44,238
Mexico,julio,2020,1104,51,752
Mexico,julio,2020,6087,1245,4230
Mexico,julio,2020,765,43,604
Mexico,julio,2020,757,105,518
Mexico,julio,2020,2610,198,1675
Mexico,julio,2020,1909,385,1399
Mexico,julio,2020,30831,3729,22860
Mexico,julio,2020,1513,95,1088
Mexico,julio,2020,214,31,126
Mexico,julio,2020,627,53,307
Mexico,julio,2020,2500,138,1420
Mexico,julio,2020,2551,371,1918
Mexico,julio,2020,2270,402,1393
Mexico,julio,2020,2820,241,1478
Mexico,julio,2020,18552,1563,14656
Mexico,julio,2020,2480,228,1809
Mexico,julio,2020,1608,298,1067
Mexico,julio,2020,786,86,482
Mexico,julio,2020,1915,130,1329
Mexico,julio,2020,2210,232,1436
Mexico,julio,2020,4236,564,2763
Mexico,julio,2020,1179,148,777
Mexico,julio,2020,2179,418,1458
Mexico,julio,2020,1230,65,851
Mexico,julio,2020,4551,708,3211
Mexico,julio,2020,2984,177,2378
Mexico,julio,2020,5474,650,3793
Mexico,julio,2020,2179,156,1588
Mexico,julio,2020,1336,187,917
Mexico,julio,2020,5136,750,3659
Mexico,julio,2020,2130,208,1590
Mexico,julio,2020,380,44,243
Mexico,agosto,2020,1160,53,792
Mexico,agosto,2020,6138,1257,4322
Mexico,agosto,2020,786,45,616
Mexico,agosto,2020,792,106,556
Mexico,agosto,2020,2613,208,1795
Mexico,agosto,2020,1917,386,1424
Mexico,agosto,2020,31493,3804,23716
Mexico,agosto,2020,1560,100,1137
Mexico,agosto,2020,217,32,132
Mexico,agosto,2020,659,53,328
Mexico,agosto,2020,2556,141,1556
Mexico,agosto,2020,2561,379,1987
Mexico,agosto,2020,2291,405,1498
Mexico,agosto,2020,2988,257,1629
Mexico,agosto,2020,18993,1621,15219
Mexico,agosto,2020,2562,235,1922
Mexico,agosto,2020,1610,298,1097
Mexico,agosto,2020,814,87,518
